DATE,SPDYNTFRTINUSA
1960-01-01,3.654
1961-01-01,3.62
1962-01-01,3.461
1963-01-01,3.319
1964-01-01,3.19
1965-01-01,2.913
1966-01-01,2.721
1967-01-01,2.558
1968-01-01,2.464
1969-01-01,2.456
1970-01-01,2.48
1971-01-01,2.266
1972-01-01,2.01
1973-01-01,1.879
1974-01-01,1.835
1975-01-01,1.774
1976-01-01,1.738
1977-01-01,1.79
1978-01-01,1.76
1979-01-01,1.808
1980-01-01,1.8395
1981-01-01,1.812
1982-01-01,1.8275
1983-01-01,1.799
1984-01-01,1.8065
1985-01-01,1.844
1986-01-01,1.8375
1987-01-01,1.872
1988-01-01,1.934
1989-01-01,2.014
1990-01-01,2.081
1991-01-01,2.0625
1992-01-01,2.046
1993-01-01,2.0195
1994-01-01,2.0015
1995-01-01,1.978
1996-01-01,1.976
1997-01-01,1.971
1998-01-01,1.999
1999-01-01,2.0075
2000-01-01,2.056
2001-01-01,2.0305
2002-01-01,2.0205
2003-01-01,2.0475
2004-01-01,2.0515
2005-01-01,2.057
2006-01-01,2.108
2007-01-01,2.12
2008-01-01,2.072
2009-01-01,2.002
2010-01-01,1.931
2011-01-01,1.8945
2012-01-01,1.8805
2013-01-01,1.8575
2014-01-01,1.8625
2015-01-01,1.8435
2016-01-01,1.8205
2017-01-01,1.7655
2018-01-01,1.7295
2019-01-01,1.706
2020-01-01,1.6415
2021-01-01,1.664
